FEN,Movimientos
3r2k1/2r3p1/6P1/8/1R3p1p/1p3P1P/2pN4/2K5 b - - 3 45,d8d2 b4b8 c7c8 b8c8 d2d8 c8d8
3r4/3r1pkp/p3b1p1/1pqpPpQ1/7R/1P5P/P4PP1/3R2K1 b - - 11 27,c5e7 g5h6 g7g8 h6h7 g8f8 h7h8
6k1/5pp1/4p1p1/5n2/7P/4nNP1/r4P2/1R4K1 b - - 5 41,e3g4 b1b8 g8h7 f3g5 h7h6 b8h8
3r4/pp3p1k/1bp4p/P3Q3/1P4qN/4P2b/5PBP/R5K1 w - - 3 31,a5b6 d8d1 a1d1 g4d1 g2f1 d1f1
7k/5K2/p1b1P1P1/2p5/1p6/8/PP1p4/8 b - - 1 45,d2d1q g6g7 h8h7 g7g8q h7h6 g8g6
2r3k1/6pb/2pp1p2/p4Pp1/1p2P3/1Br4R/P5K1/2R5 b - - 1 36,g8h8 h3h7 h8h7 c1h1 c3h3 h1h3
7k/1pp3pp/2q5/8/1PQbP2P/3P4/r2B1rP1/1K1R3R w - - 8 27,b1a2 c6a4 a2b1 a4a1 b1c2 a1b2
r3bN2/1p3k1P/6p1/p3Pp2/3p1P2/1p5Q/5q1P/R3R2K w - - 1 29,h7h8q e8c6 e1e4 c6e4 h3g2 e4g2
r1bqk2r/bpp1np2/p1np3p/3Np3/1PB1P1p1/P2P1N1P/2PQ1PP1/R1B2RK1 b kq - 1 11,g4f3 d5f6 e8f8 d2h6 h8h6 c1h6
6r1/R2n4/2k1p3/4p1pp/2P1P3/3PBPPK/1r5P/5R2 w - - 3 32,f1a1 g5g4 f3g4 h5g4 h3h4 b2h2
3r2k1/pp2bppn/8/4N3/q2B4/P1P2Q2/1P3PPP/1b4K1 b - - 1 28,b1e4 f3f7 g8h8 e5g6 e4g6 f7g7
6k1/p5bp/2R3p1/5p2/NP6/P3BP2/3n2PP/3r1BK1 w - - 1 29,e3d2 g7d4 d2e3 d4e3 g1h1 d1f1
r2q1r2/3nppkN/p2p2p1/2pb4/1p6/3P4/PPPQBPP1/R3K2R b KQ - 1 16,f8h8 d2h6 g7g8 h7f6 e7f6 h6h8
k5r1/p1q5/2p5/P1Np2r1/1P1P4/2P3PP/4QP2/R4RK1 w - - 3 28,e2a6 g5g3 f2g3 c7g3 g1h1 g3h3
rn1qk2r/4p1b1/2pp1nQ1/pp5p/3P1B1P/2P1PN2/PP3PP1/R3K2R b KQkq - 0 12,e8f8 f3g5 d8e8 g5e6 f8g8 g6g7
6k1/5p1p/4p3/4PPK1/R2pp1P1/1rr4P/8/8 b - - 4 39,c3h3 a4a8 b3b8 a8b8 g8g7 f5f6
rn1r2k1/p1b3Bp/2p3pP/2pRp3/1PB5/P5q1/5Q2/4KR2 b - - 4 32,g3f2 f1f2 c6d5 c4d5 d8d5 f2f8
r1b1qrkR/p3n1b1/5pP1/3Pp3/Np6/1P2QN2/PBP2PP1/2K4R b - - 2 23,g7h8 h1h8 g8h8 e3h6 h8g8 h6h7
q3r3/2RP1p1k/3Q2p1/1p4pp/2p5/5bP1/1P3P1P/6K1 w - - 0 32,d7e8q a8a1 d6d1 a1d1 e8e1 d1e1
r3qrk1/1p4pp/pp3p2/P2P4/4P2n/4BP2/P3BP1P/R2Q1RK1 w - - 1 19,d5d6 e8g6 e3g5 g6g5 g1h1 g5g2
8/4r1pk/5R1p/5Q2/2bq4/7P/6P1/7K b - - 1 41,g7g6 f5g6 h7h8 f6f8 c4g8 g6g8
r2r2k1/pp3ppp/3Npn2/5b2/8/4P1P1/PP4BP/2KR2NR w - - 1 17,d6f5 a8c8 g2c6 c8c6 c1b1 d8d1
